Borough,City,Student_Enrollment,Percent_White,Percent_Black,Percent_Asian,Average_Score_SAT_Math,Average_Score_SAT_Reading,Average_Score_SAT_Writing,Percent_Tested,Average_SAT
Brooklyn,Brooklyn,152,0.02,0.72,0.06,395,382,391,0.46,389.33
Brooklyn,Brooklyn,317,0,0.17,0.01,393,368,382,0.47,381.00
Brooklyn,Brooklyn,383,0.03,0.56,0.02,367,381,328,0.32,358.67
Brooklyn,Brooklyn,142,0.02,0.63,0.01,399,413,400,0.46,404.00
Brooklyn,Brooklyn,2006,0.14,0.29,0.36,512,418,396,0.63,442.00
Brooklyn,Brooklyn,560,0.44,0.23,0.1,436,430,421,0.68,429.00
Brooklyn,Brooklyn,386,0.01,0.83,0.01,382,393,377,0.72,384.00
Brooklyn,Brooklyn,453,0.01,0.8,0.05,419,411,416,0.59,415.33
Brooklyn,Brooklyn,1271,0.01,0.91,0.03,525,500,481,0.89,502.00
Brooklyn,Brooklyn,1499,0.01,0.9,0.02,408,424,407,0.55,413.00
Brooklyn,Brooklyn,414,0.13,0.29,0.18,344,302,300,0.82,315.33
Brooklyn,Brooklyn,246,0.03,0.82,0.02,377,386,375,0.62,379.33
Brooklyn,Brooklyn,516,0.01,0.87,0.04,496,491,484,0.92,490.33
Brooklyn,Brooklyn,505,0.01,0.85,0.02,386,397,393,0.57,392.00
Brooklyn,Brooklyn,384,0.02,0.85,0.02,360,382,359,0.63,367.00
Brooklyn,Brooklyn,445,0.02,0.83,0.03,377,382,356,0.46,371.67
Brooklyn,Brooklyn,285,0.01,0.85,0.04,374,385,375,0.62,378.00
Brooklyn,Brooklyn,3088,0.44,0.17,0.21,492,450,444,0.69,462.00
Brooklyn,Brooklyn,3968,0.27,0.23,0.27,500,479,472,0.75,483.67
Brooklyn,Brooklyn,685,0.09,0.39,0.06,401,411,404,0.84,405.33
Brooklyn,Brooklyn,1333,0.07,0.09,0.07,398,380,381,0.62,386.33
Brooklyn,Brooklyn,353,0,0.88,0.01,394,395,399,0.64,396.00
Brooklyn,Brooklyn,226,0.01,0.82,0.01,377,396,386,0.51,386.33
Brooklyn,Brooklyn,1081,0.59,0.1,0.19,563,534,543,0.94,546.67
Brooklyn,Brooklyn,2341,0.2,0.4,0.15,441,422,422,0.55,428.33
Brooklyn,Brooklyn,613,0.06,0.69,0.05,416,423,387,0.31,408.67
Brooklyn,Brooklyn,309,0.04,0.79,0.03,362,396,393,0.45,383.67
Brooklyn,Brooklyn,286,0.01,0.85,0.02,392,406,403,0.5,400.33
Brooklyn,Brooklyn,432,0,0.82,0.03,404,427,424,0.6,418.33
Brooklyn,Brooklyn,303,0.03,0.86,0.01,390,410,397,0.59,399.00
Brooklyn,Brooklyn,331,0.01,0.89,0.01,386,408,402,0.73,398.67
Brooklyn,Brooklyn,395,0.02,0.82,0.01,379,393,373,0.69,381.67
Brooklyn,Brooklyn,308,0.01,0.86,0.02,381,397,390,0.51,389.33
Brooklyn,Brooklyn,358,0.02,0.15,0.06,467,446,448,0.85,453.67
Brooklyn,Brooklyn,405,0.03,0.21,0.01,365,357,357,0.5,359.67
Brooklyn,Brooklyn,340,0.02,0.19,0.02,365,366,348,0.71,359.67
Brooklyn,Brooklyn,279,0.01,0.23,0.01,392,374,379,0.42,381.67
Brooklyn,Brooklyn,504,0.02,0.84,0.01,379,395,385,0.61,386.33
Queens,Flushing,2186,0.04,0.24,0.2,444,407,405,0.46,418.67
Queens,Flushing,666,0.05,0.15,0.61,521,457,451,0.89,476.33
Queens,Flushing,437,0.03,0.03,0.56,481,323,323,0.68,375.67
Queens,Flushing,610,0.5,0.09,0.16,484,491,487,0.89,487.33
Queens,Bayside,3336,0.18,0.13,0.4,523,479,485,0.77,495.67
Queens,Oakland Gardens,3505,0.15,0.2,0.44,563,505,510,0.76,526.00
Queens,Fresh Meadows,4172,0.15,0.07,0.54,562,483,485,0.81,510.00
Queens,Fresh Meadows,557,0.19,0.2,0.36,516,493,486,0.88,498.33
Queens,Fresh Meadows,701,0.18,0.13,0.31,460,426,423,0.67,436.33
Queens,Flushing,3667,0.05,0.18,0.29,467,422,425,0.62,438.00
Queens,Flushing,1132,0.22,0.06,0.59,680,640,661,0.97,660.33
Queens,Corona,870,0.04,0.08,0.1,413,405,393,0.77,403.67
Queens,Elmhurst,479,0.06,0.08,0.1,435,424,418,0.69,425.67
Queens,Elmhurst,973,0.36,0.02,0.18,476,471,480,0.9,475.67
Queens,Elmhurst,378,0,0,0,340,320,318,0.32,326.00
